Platform,Username,Business Name,Business Type,Owner Name,Initial Message,Message Sent At,Follow Up Count,Has Responded,Is Warm Lead,Status
instagram,test_user_12,Test Restaurant 12,Restaurant,Owner12,"Hi Owner12, I noticed your Restaurant business (Test Restaurant 12) online. Are you currently happy with how you're booking new clients? I help Restaurant businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:27,0,Yes,Yes,Warm Lead
instagram,test_user_13,Test Interior Designer 13,Interior Designer,Owner13,"Hi Owner13, I noticed your Interior Designer business (Test Interior Designer 13) online. Are you currently happy with how you're booking new clients? I help Interior Designer businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:27,0,Yes,Yes,Warm Lead
instagram,test_user_14,Test Trainer 14,Trainer,Owner14,"Hi Owner14, I noticed your Trainer business (Test Trainer 14) online. Are you currently happy with how you're booking new clients? I help Trainer businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:29,0,Yes,Yes,Warm Lead
instagram,test_user_15,Test Business Consultant 15,Business Consultant,Owner15,"Hi Owner15, I noticed your Business Consultant business (Test Business Consultant 15) online. Are you currently happy with how you're booking new clients? I help Business Consultant businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:33:29,0,Yes,Yes,Warm Lead
instagram,test_user_1,Test Accountant 1,Accountant,Owner1,"Hi Owner1, I noticed your Accountant business (Test Accountant 1) online. Are you currently happy with how you're booking new clients? I help Accountant businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:37:13,1,Yes,Yes,Warm Lead
instagram,test_user_2,Test Barber 2,Barber,Owner2,"Hi Owner2, I noticed your Barber business (Test Barber 2) online. Are you currently happy with how you're booking new clients? I help Barber businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:37:14,0,Yes,No,Responded
instagram,test_user_3,Test Business Consultant 3,Business Consultant,Owner3,"Hi Owner3, I noticed your Business Consultant business (Test Business Consultant 3) online. Are you currently happy with how you're booking new clients? I help Business Consultant businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:37:15,0,No,No,Waiting
instagram,test_user_4,Test Car Detailer 4,Car Detailer,Owner4,"Hi Owner4, I noticed your Car Detailer business (Test Car Detailer 4) online. Are you currently happy with how you're booking new clients? I help Car Detailer businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:37:16,0,Yes,Yes,Warm Lead
instagram,test_user_5,Test Moving Service 5,Moving Service,Owner5,"Hi Owner5, I noticed your Moving Service business (Test Moving Service 5) online. Are you currently happy with how you're booking new clients? I help Moving Service businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:37:17,0,Yes,Yes,Warm Lead
instagram,test_user_6,Test Optometrist 6,Optometrist,Owner6,"Hi Owner6, I noticed your Optometrist business (Test Optometrist 6) online. Are you currently happy with how you're booking new clients? I help Optometrist businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:37:18,0,Yes,Yes,Warm Lead
instagram,test_user_7,Test Lawyer 7,Lawyer,Owner7,"Hi Owner7, I noticed your Lawyer business (Test Lawyer 7) online. Are you currently happy with how you're booking new clients? I help Lawyer businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:37:20,0,Yes,Yes,Warm Lead
instagram,test_user_8,Test Nail Salon 8,Nail Salon,Owner8,"Hi Owner8, I noticed your Nail Salon business (Test Nail Salon 8) online. Are you currently happy with how you're booking new clients? I help Nail Salon businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:37:21,0,Yes,Yes,Warm Lead
instagram,test_user_9,Test Cleaning Service 9,Cleaning Service,Owner9,"Hi Owner9, I noticed your Cleaning Service business (Test Cleaning Service 9) online. Are you currently happy with how you're booking new clients? I help Cleaning Service businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:37:22,0,No,No,Waiting
instagram,test_user_10,Test Chiropractor 10,Chiropractor,Owner10,"Hi Owner10, I noticed your Chiropractor business (Test Chiropractor 10) online. Are you currently happy with how you're booking new clients? I help Chiropractor businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:37:23,0,Yes,Yes,Warm Lead
instagram,test_user_11,Test Wedding Planner 11,Wedding Planner,Owner11,"Hi Owner11, I noticed your Wedding Planner business (Test Wedding Planner 11) online. Are you currently happy with how you're booking new clients? I help Wedding Planner businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:37:24,0,Yes,Yes,Warm Lead
instagram,test_user_12,Test Massage Therapist 12,Massage Therapist,Owner12,Hey there Owner12! Your Massage Therapist business (Test Massage Therapist 12) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Massage Therapists that can be ready in just 48 hours.,2025-03-17 04:37:25,0,Yes,Yes,Warm Lead
instagram,test_user_13,Test Optometrist 13,Optometrist,Owner13,Hey Owner13! Your Optometrist business (Test Optometrist 13) looks great! I've helped several Optometrists in your area increase their client base by 30% with professional websites. Would you be interested in seeing some examples?,2025-03-17 04:37:27,0,Yes,Yes,Warm Lead
instagram,test_user_14,Test Boutique 14,Boutique,Owner14,Hey there Owner14! Your Boutique business (Test Boutique 14) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Boutiques that can be ready in just 48 hours.,2025-03-17 04:37:28,0,Yes,Yes,Warm Lead
instagram,test_user_15,Test Life Coach 15,Life Coach,Owner15,Hey there Owner15! Your Life Coach business (Test Life Coach 15) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Life Coachs that can be ready in just 48 hours.,2025-03-17 04:37:29,0,Yes,Yes,Warm Lead
instagram,test_user_1,Test Barber 1,Barber,Owner1,Hey there Owner1! Your Barber business (Test Barber 1) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Barbers that can be ready in just 48 hours.,2025-03-17 04:39:39,1,Yes,Yes,Warm Lead
instagram,test_user_2,Test Lawyer 2,Lawyer,Owner2,Hey there Owner2! Your Lawyer business (Test Lawyer 2) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Lawyers that can be ready in just 48 hours.,2025-03-17 04:39:41,0,Yes,No,Responded
instagram,test_user_3,Test Dentist 3,Dentist,Owner3,Hey Owner3! Your Dentist business (Test Dentist 3) looks great! I've helped several Dentists in your area increase their client base by 30% with professional websites. Would you be interested in seeing some examples?,2025-03-17 04:39:42,0,No,No,Waiting
instagram,test_user_4,Test Boutique 4,Boutique,Owner4,Hey there Owner4! Your Boutique business (Test Boutique 4) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Boutiques that can be ready in just 48 hours.,2025-03-17 04:39:43,0,Yes,Yes,Warm Lead
instagram,test_user_5,Test Chiropractor 5,Chiropractor,Owner5,Hey there Owner5! Your Chiropractor business (Test Chiropractor 5) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Chiropractors that can be ready in just 48 hours.,2025-03-17 04:39:44,0,Yes,Yes,Warm Lead
instagram,test_user_6,Test Life Coach 6,Life Coach,Owner6,Hey there Owner6! Your Life Coach business (Test Life Coach 6) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Life Coachs that can be ready in just 48 hours.,2025-03-17 04:39:45,0,Yes,Yes,Warm Lead
instagram,test_user_7,Test Lawyer 7,Lawyer,Owner7,Hey there Owner7! Your Lawyer business (Test Lawyer 7) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Lawyers that can be ready in just 48 hours.,2025-03-17 04:39:46,0,Yes,Yes,Warm Lead
instagram,test_user_8,Test Photographer 8,Photographer,Owner8,Hey there Owner8! Your Photographer business (Test Photographer 8) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Photographers that can be ready in just 48 hours.,2025-03-17 04:39:47,0,Yes,Yes,Warm Lead
instagram,test_user_9,Test Coffee Shop 9,Coffee Shop,Owner9,Hey there Owner9! Your Coffee Shop business (Test Coffee Shop 9) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Coffee Shops that can be ready in just 48 hours.,2025-03-17 04:39:49,0,No,No,Waiting
instagram,test_user_10,Test Business Consultant 10,Business Consultant,Owner10,Hey there Owner10! Your Business Consultant business (Test Business Consultant 10) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Business Consultants that can be ready in just 48 hours.,2025-03-17 04:39:50,0,Yes,Yes,Warm Lead
instagram,test_user_11,Test Car Detailer 11,Car Detailer,Owner11,Hey there Owner11! Your Car Detailer business (Test Car Detailer 11) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Car Detailers that can be ready in just 48 hours.,2025-03-17 04:39:50,0,Yes,Yes,Warm Lead
instagram,test_user_12,Test Car Detailer 12,Car Detailer,Owner12,Hey there Owner12! Your Car Detailer business (Test Car Detailer 12) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Car Detailers that can be ready in just 48 hours.,2025-03-17 04:39:51,0,Yes,Yes,Warm Lead
instagram,test_user_13,Test Event Planner 13,Event Planner,Owner13,Hey there Owner13! Your Event Planner business (Test Event Planner 13) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Event Planners that can be ready in just 48 hours.,2025-03-17 04:39:52,0,Yes,Yes,Warm Lead
instagram,test_user_14,Test Physiotherapist 14,Physiotherapist,Owner14,Hey there Owner14! Your Physiotherapist business (Test Physiotherapist 14) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Physiotherapists that can be ready in just 48 hours.,2025-03-17 04:39:53,0,Yes,Yes,Warm Lead
instagram,test_user_15,Test Pet Grooming 15,Pet Grooming,Owner15,Hey there Owner15! Your Pet Grooming business (Test Pet Grooming 15) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Pet Groomings that can be ready in just 48 hours.,2025-03-17 04:39:54,0,Yes,Yes,Warm Lead
instagram,test_user_1,Test Physiotherapist 1,Physiotherapist,Owner1,Hey there Owner1! Your Physiotherapist business (Test Physiotherapist 1) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Physiotherapists that can be ready in just 48 hours.,2025-03-17 04:42:06,1,Yes,Yes,Warm Lead
instagram,test_user_2,Test Real Estate Agent 2,Real Estate Agent,Owner2,Hey there Owner2! Your Real Estate Agent business (Test Real Estate Agent 2) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Real Estate Agents that can be ready in just 48 hours.,2025-03-17 04:42:07,0,Yes,No,Responded
instagram,test_user_3,Test Hair Stylist 3,Hair Stylist,Owner3,Hey there Owner3! Your Hair Stylist business (Test Hair Stylist 3) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Hair Stylists that can be ready in just 48 hours.,2025-03-17 04:42:08,0,No,No,Waiting
instagram,test_user_4,Test Lawyer 4,Lawyer,Owner4,Hey there Owner4! Your Lawyer business (Test Lawyer 4) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Lawyers that can be ready in just 48 hours.,2025-03-17 04:42:08,0,Yes,Yes,Warm Lead
instagram,test_user_5,Test Contractor 5,Contractor,Owner5,Hey there Owner5! Your Contractor business (Test Contractor 5) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Contractors that can be ready in just 48 hours.,2025-03-17 04:42:09,0,Yes,Yes,Warm Lead
instagram,test_user_6,Test Nail Salon 6,Nail Salon,Owner6,"Hi Owner6, I noticed your Nail Salon business (Test Nail Salon 6) online. Are you currently happy with how you're booking new clients? I help Nail Salon businesses increase bookings with custom websites designed specifically for your industry.",2025-03-17 04:42:10,0,Yes,Yes,Warm Lead
instagram,test_user_7,Test Optometrist 7,Optometrist,Owner7,Hey there Owner7! Your Optometrist business (Test Optometrist 7) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Optometrists that can be ready in just 48 hours.,2025-03-17 04:42:12,0,Yes,Yes,Warm Lead
instagram,test_user_8,Test Event Planner 8,Event Planner,Owner8,Hey there Owner8! Your Event Planner business (Test Event Planner 8) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Event Planners that can be ready in just 48 hours.,2025-03-17 04:42:13,0,Yes,Yes,Warm Lead
instagram,test_user_9,Test Chiropractor 9,Chiropractor,Owner9,Hey Owner9! Your Chiropractor business (Test Chiropractor 9) looks great! I've helped several Chiropractors in your area increase their client base by 30% with professional websites. Would you be interested in seeing some examples?,2025-03-17 04:42:13,0,No,No,Waiting
instagram,test_user_10,Test Interior Designer 10,Interior Designer,Owner10,Hey there Owner10! Your Interior Designer business (Test Interior Designer 10) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Interior Designers that can be ready in just 48 hours.,2025-03-17 04:42:15,0,Yes,Yes,Warm Lead
instagram,test_user_11,Test Boutique 11,Boutique,Owner11,Hey there Owner11! Your Boutique business (Test Boutique 11) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Boutiques that can be ready in just 48 hours.,2025-03-17 04:42:16,0,Yes,Yes,Warm Lead
instagram,test_user_12,Test Landscaper 12,Landscaper,Owner12,Hey there Owner12! Your Landscaper business (Test Landscaper 12) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Landscapers that can be ready in just 48 hours.,2025-03-17 04:42:17,0,Yes,Yes,Warm Lead
instagram,test_user_13,Test Nail Salon 13,Nail Salon,Owner13,Hey there Owner13! Your Nail Salon business (Test Nail Salon 13) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Nail Salons that can be ready in just 48 hours.,2025-03-17 04:42:19,0,Yes,Yes,Warm Lead
instagram,test_user_14,Test Accountant 14,Accountant,Owner14,Hey there Owner14! Your Accountant business (Test Accountant 14) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for Accountants that can be ready in just 48 hours.,2025-03-17 04:42:20,0,Yes,Yes,Warm Lead
instagram,test_user_15,Test HVAC Service 15,HVAC Service,Owner15,Hey there Owner15! Your HVAC Service business (Test HVAC Service 15) caught my eye. Have you considered how a professional website could help grow your client base? I create custom websites specifically for HVAC Services that can be ready in just 48 hours.,2025-03-17 04:42:20,0,Yes,Yes,Warm Lead
